"Stage";"Age (Ma)";"GSSP Location";"Latitude, Longitude";"Boundary Level";"Correlation Events";"Status";"Reference";"Affiliations"
"Precambrian Super-Eonothem";"Precambrian Super-Eonothem";"Precambrian Super-Eonothem";"Precambrian Super-Eonothem";"Precambrian Super-Eonothem";"Precambrian Super-Eonothem";"Precambrian Super-Eonothem";"Precambrian Super-Eonothem";NA
"Archean Eonothem";"Archean Eonothem";"Archean Eonothem";"Archean Eonothem";"Archean Eonothem";"Archean Eonothem";"Archean Eonothem";"Archean Eonothem";NA
"Neoarchean Erathem";"2800";"Defined chronometrically";"";"";"";"Subcomm. decision 1996, but not submitted to ICS";"Informally in Episodes 1992; 15";NA
"Mesoarchean Erathem";"3200";"Defined chronometrically";"";"";"";"Subcomm. decision 1996, but not submitted to ICS";"Informally in Episodes 1992; 15";NA
"Paleoarchean Erathem";"3600";"Defined chronometrically";"";"";"";"Subcomm. decision 1996, but not submitted to ICS";"Informally in Episodes 1992; 15";NA
"Eoarchean Erathem";"4000";"Base is not defined";"";"";"";"Subcomm. decision 1996, but not submitted to ICS";"Informally in Episodes 1992; 15";NA
