"";"nas$system"
"Aquitanian";NA
"Burdigalian";NA
"Calabrian";NA
"Chibanian";NA
"Gelasian";NA
"Greenlandian";NA
"Langhian";NA
"Meghalayan";NA
"Messinian";NA
"Northgrippian";NA
"Piacenzian";NA
"Selandian";NA
"Serravallian";NA
"Stage 10";NA
"Thanetian";NA
"Tortonian";NA
"Upper Stage";NA
"Zanclean";NA
